44.75,-31.8594378,0
45.75,-31.8594378,73
45.75,-32.8594378,91
45.75,-33.8594378,103
45.75,-34.8594378,115
45.75,-35.8594378,122
45.75,-36.8594378,128
46.75,-38.8594378,134
46.75,-40.8594378,146
46.75,-41.8594378,152
46.75,-43.8594378,158
46.75,-45.8594378,170
46.75,-47.8594378,177
46.75,-48.8594378,188
46.75,-49.8594378,194
46.75,-50.8594378,201
46.75,-51.8594378,207
46.75,-52.8594378,220
46.75,-54.8594378,225
46.75,-55.8594378,237
46.75,-57.8594378,249
46.75,-58.8594378,262
46.75,-59.8594378,273
46.75,-60.8594378,280
46.75,-61.8594378,292
46.75,-62.8594378,298
46.75,-63.8594378,316
46.75,-64.8594378,322
46.75,-65.8594378,335
46.75,-66.8594378,341
46.75,-67.8594378,365
46.75,-68.8594378,389
46.75,-69.8594378,407
46.75,-70.8594378,426
46.75,-71.8594378,450
46.75,-73.8594378,517
46.75,-74.8594378,548
46.75,-75.8594378,584
46.75,-76.8594378,614
46.75,-77.8594378,638
