20.75,-27.8594378,0
22.75,-28.8594378,165
24.75,-30.8594378,175
25.75,-31.8594378,186
26.75,-33.8594378,196
29.75,-34.8594378,206
31.75,-37.8594378,217
34.75,-37.8594378,227
36.75,-40.8594378,237
37.75,-41.8594378,258
40.75,-42.8594378,268
40.75,-43.8594378,279
42.75,-44.8594378,289
42.75,-45.8594378,299
43.75,-46.8594378,310
44.75,-47.8594378,320
45.75,-47.8594378,330
46.75,-49.8594378,341
47.75,-49.8594378,351
48.75,-51.8594378,361
49.75,-51.8594378,372
50.75,-52.8594378,382
52.75,-53.8594378,403
53.75,-54.8594378,413
54.75,-54.8594378,423
55.75,-55.8594378,434
